datetime,retraining_flag,model_name,MLPPredictor,LSTMSoftplusPredictor,TransformerPredictor,SigmaLSTMPredictor
2018-07-06 12:00:00,False,,1.5913876,5.6861216e-05,5.9006856e-05,0.043116275
2018-07-06 13:00:00,False,,1.481314,5.6265202e-05,5.9006856e-05,0.03650084
2018-07-06 14:00:00,False,,1.5769595,5.6980418e-05,5.9245263e-05,0.06134967
2018-07-06 15:00:00,False,,1.5139192,5.6980418e-05,5.8887654e-05,0.008763086
2018-07-06 16:00:00,False,,1.4332174,5.662281e-05,5.876845e-05,0.0023591933
2018-07-06 17:00:00,False,,1.3905244,5.6861216e-05,5.8530048e-05,0.0019887274
2018-07-06 18:00:00,False,,1.4965017,5.6384404e-05,5.8530048e-05,0.0072108656
2018-07-06 19:00:00,False,,1.200718,5.7218822e-05,5.817244e-05,0.0076104985
2018-07-06 20:00:00,False,,1.1328275,5.674201e-05,5.7934038e-05,0.005629103
2018-07-06 21:00:00,False,,1.1115565,5.674201e-05,5.769563e-05,0.017749665
2018-07-06 22:00:00,False,,1.3239462,5.662281e-05,5.7934038e-05,0.007726694
2018-07-06 23:00:00,False,,1.3881218,5.6980418e-05,5.817244e-05,0.0067422413
2018-07-07 00:00:00,False,,1.3325379,5.662281e-05,5.8291644e-05,0.0007350454
2018-07-07 01:00:00,False,,1.1331636,5.6861216e-05,5.7576428e-05,0.0037615437
2018-07-07 02:00:00,False,,1.1778471,5.709962e-05,5.7934038e-05,0.005001316
2018-07-07 03:00:00,False,,1.272488,5.662281e-05,5.7814836e-05,0.0065229507
2018-07-07 04:00:00,False,,1.2996265,5.674201e-05,5.7934038e-05,0.0070142816
2018-07-07 05:00:00,False,,1.3123161,5.674201e-05,5.7576428e-05,0.00016663277
2018-07-07 06:00:00,False,,1.1820458,5.6861216e-05,5.769563e-05,0.007053383
2018-07-07 07:00:00,False,,0.9007903,5.6980418e-05,5.7576428e-05,0.00037948525
2018-07-07 08:00:00,False,,1.1296855,5.662281e-05,5.7814836e-05,3.2644766e-05
